MasterID,Mag,Magerr,RA,Dec,MJD,Blend
1004088092448,15.55,0.06,245.51030,-3.17181,53481.40325,0
1004088092448,15.52,0.06,245.51026,-3.17178,53481.41197,0
1004088092448,15.62,0.07,245.51028,-3.17178,53481.42092,0
1004088092448,15.52,0.06,245.51028,-3.17180,53481.42966,0
1004088092448,15.60,0.07,245.51023,-3.17180,53553.24700,0
1004088092448,15.57,0.07,245.51023,-3.17179,53553.25347,0
1004088092448,15.58,0.07,245.51025,-3.17182,53553.25996,0
1004088092448,15.63,0.07,245.51027,-3.17178,53553.26642,0
1004088092448,15.61,0.07,245.51026,-3.17179,53523.27429,0
1004088092448,15.60,0.07,245.51027,-3.17181,53523.28076,0
1004088092448,15.56,0.06,245.51025,-3.17176,53523.28725,0
1004088092448,15.58,0.07,245.51026,-3.17178,53523.29382,0
1004088092448,15.60,0.06,245.51031,-3.17181,53530.27974,0
1004088092448,15.59,0.07,245.51026,-3.17176,53530.35754,0
1004088092448,15.62,0.07,245.51026,-3.17175,53530.36407,0
1004088092448,15.59,0.07,245.51023,-3.17178,53530.37058,0
1004088092448,15.83,0.07,245.51027,-3.17170,53496.30819,0
1004088092448,15.68,0.08,245.51012,-3.17171,53496.31569,0
1004088092448,15.48,0.08,245.51026,-3.17173,53496.32318,0
1004088092448,15.54,0.07,245.51027,-3.17169,53626.11624,0
1004088092448,15.57,0.07,245.51030,-3.17174,53626.12267,0
1004088092448,15.58,0.07,245.51028,-3.17173,53626.12911,0
1004088092448,15.59,0.07,245.51031,-3.17176,53626.13558,0
1004088092448,15.59,0.07,245.51026,-3.17178,53846.38399,0
1004088092448,15.60,0.07,245.51025,-3.17181,53848.35699,0
1004088092448,15.60,0.07,245.51027,-3.17180,53848.36554,0
1004088092448,15.61,0.07,245.51028,-3.17180,53848.37411,0
1004088092448,15.60,0.07,245.51031,-3.17179,53848.38266,0
1004088092448,15.59,0.07,245.51028,-3.17179,53854.43402,0
1004088092448,15.60,0.07,245.51026,-3.17179,53854.44056,0
1004088092448,15.57,0.07,245.51026,-3.17177,53854.44708,0
1004088092448,15.61,0.07,245.51029,-3.17179,53854.45362,0
1004088092448,15.59,0.07,245.51027,-3.17175,53976.15536,0
1004088092448,15.55,0.07,245.51028,-3.17179,53976.15917,0
1004088092448,15.61,0.07,245.51022,-3.17173,53976.16295,0
1004088092448,15.55,0.07,245.51027,-3.17187,53976.16673,0
1004088092448,15.61,0.07,245.51026,-3.17172,53767.51025,0
1004088092448,15.61,0.07,245.51024,-3.17179,53767.51583,0
1004088092448,15.61,0.07,245.51025,-3.17176,53767.52068,0
1004088092448,15.59,0.07,245.51022,-3.17178,53767.52553,0
1004088092448,15.61,0.07,245.51029,-3.17176,53791.51153,0
1004088092448,15.59,0.07,245.51031,-3.17180,53791.51911,0
1004088092448,15.59,0.07,245.51026,-3.17180,53791.52667,0
1004088092448,15.61,0.07,245.51024,-3.17178,53791.53426,0
