MeanMagError,StdevMagError,UpperBoundMagError,Magnitude,Stars in Bin
0.00033828897183964425,6.6728004488957751e-05,0.00040501697632860202,12.050000000000001,12
0.00035438403079838615,7.0722765689112434e-05,0.00042510679648749859,12.149999999999999,11
0.00031733119893351925,6.2143221085740309e-05,0.00037947442001925959,12.25,25
0.00022155375387847582,5.9156754589544564e-05,0.00028071050846802039,12.349999999999998,25
0.00020695768702055011,8.9401405009229015e-05,0.00029635909202977914,12.449999999999999,26
0.00027846571271686197,8.9082524562844237e-05,0.00036754823727970618,12.549999999999997,23
0.00050565337406550828,0.00014835505097751141,0.00065400842504301964,12.649999999999999,21
0.00035574063865760912,8.7238787974720853e-05,0.00044297942663232997,12.749999999999996,22
0.00022572976634865715,6.9543643185978281e-05,0.00029527340953463546,12.849999999999998,22
0.00024921492773671453,3.6068391953788566e-05,0.00028528331969050313,12.949999999999996,22
0.00028481158169700799,4.0433477876102436e-05,0.00032524505957311044,13.049999999999997,26
0.0004289780166739251,5.7655803267174323e-05,0.00048663381994109943,13.149999999999995,36
0.00020372410432364813,4.2855071819259784e-05,0.0002465791761429079,13.249999999999996,40
0.00023672321371679317,5.0609535721547354e-05,0.00028733274943834055,13.349999999999994,41
0.00027635223245685959,4.2304321791444558e-05,0.00031865655424830416,13.449999999999996,59
0.00022212851100830971,3.7436288006006853e-05,0.00025956479901431657,13.549999999999994,56
0.00023516103288896199,3.5893955603322563e-05,0.00027105498849228456,13.649999999999995,59
0.00019244495672996693,4.3915761660189375e-05,0.0002363607183901563,13.749999999999993,70
0.00023567697776288415,4.3972534519194123e-05,0.00027964951228207828,13.849999999999994,74
0.00030994574807330442,4.1477530574719701e-05,0.0003514232786480241,13.949999999999992,60
0.0002008123988448751,4.2158544528289855e-05,0.00024297094337316494,14.049999999999994,64
0.00027195954713856373,5.5492025914701784e-05,0.00032745157305326552,14.149999999999991,72
0.00028412174066849867,5.9296877160407266e-05,0.00034341861782890594,14.249999999999993,78
0.00023694523709219932,3.7661092387702514e-05,0.00027460632947990185,14.349999999999991,100
0.00034808710972932785,5.3201013751251122e-05,0.00040128812348057898,14.449999999999992,104
0.00036482051424025874,8.0145399646427956e-05,0.00044496591388668667,14.54999999999999,95
0.00027291103980512429,6.9320591101965098e-05,0.0003422316309070894,14.649999999999991,99
0.00038765993860582294,6.7385125440296584e-05,0.00045504506404611954,14.749999999999989,124
0.00036125681507197607,5.1947181400976037e-05,0.00041320399647295212,14.849999999999991,120
0.00030158733811029093,6.9910033288673169e-05,0.00037149737139896408,14.949999999999989,118
0.00036361985007232951,7.6343716211869553e-05,0.00043996356628419903,15.04999999999999,150
0.0003663378150264851,8.8427752606452337e-05,0.00045476556763293744,15.149999999999988,152
0.00044161031940821748,0.00010804654631605507,0.00054965686572427258,15.249999999999989,166
0.00046746280549431375,9.1581128535942052e-05,0.00055904393403025576,15.349999999999987,171
0.00060317722036334637,0.00012216826352643559,0.00072534548388978194,15.449999999999989,166
0.00042350766536947896,0.00010985215039515697,0.00053335981576463592,15.549999999999986,207
0.00051748890298110046,0.00016022144892721918,0.00067771035190831964,15.649999999999988,200
0.00057351013798494514,0.00024994231859273988,0.00082345245657768507,15.749999999999986,259
0.00055484062581585467,0.00022705649579407894,0.00078189712160993364,15.849999999999987,290
0.00053869377970371547,0.00018691949855253578,0.00072561327825625122,15.949999999999985,313
0.0005404435493099397,0.00016870530843598666,0.00070914885774592631,16.049999999999986,315
0.00049970503342022571,0.00014857760244850094,0.00064828263586872662,16.149999999999984,318
0.00051340818734539053,0.00015129717475456322,0.00066470536209995378,16.249999999999986,360
0.00050721475673862562,0.00014486607338594107,0.00065208083012456672,16.349999999999984,375
0.00056874788906247098,0.00014517111696091359,0.00071391900602338462,16.449999999999985,402
0.00053509571770262864,0.00012542540299037748,0.00066052112069300611,16.549999999999983,402
0.00051733838471883491,0.00012054358290865467,0.00063788196762748961,16.649999999999984,456
0.00054396895286383464,0.00010676546548577811,0.0006507344183496128,16.749999999999982,525
0.00056257808188309329,0.00011005592266684302,0.00067263400454993635,16.849999999999984,525
0.00057190818429277439,9.0315516610064181e-05,0.00066222370090283857,16.949999999999982,552
0.00062226809920053433,8.3891638868522538e-05,0.00070615973806905687,17.049999999999983,607
0.00064920534255394878,8.5623212322105999e-05,0.0007348285548760548,17.149999999999981,651
0.0006587763657720663,7.3895083355849753e-05,0.00073267144912791602,17.249999999999982,670
0.00066229568438201745,6.9675521505689205e-05,0.00073197120588770661,17.34999999999998,749
0.00070230185179240897,7.579720124096151e-05,0.00077809905303337043,17.449999999999982,773
0.0007287264292074535,7.6802097063980986e-05,0.00080552852627143443,17.549999999999979,783
0.00075498006145310491,6.9302397982514262e-05,0.00082428245943561918,17.649999999999981,927
0.00080242210637691293,8.4092031351621908e-05,0.00088651413772853488,17.749999999999979,993
0.00084521059481954008,8.7889955308513527e-05,0.00093310055012805365,17.84999999999998,1127
0.00089460921435812249,7.808222821814355e-05,0.00097269144257626603,17.949999999999978,1224
0.00095404810716651848,8.4632581836972806e-05,0.0010386806890034914,18.049999999999979,1320
0.00098776755192422341,8.2060350947961457e-05,0.0010698279028721848,18.149999999999977,1312
0.0010670258840909772,9.3480307136465708e-05,0.0011605061912274429,18.249999999999979,1322
0.0011245915444619572,0.00010270526305775573,0.0012272968075197129,18.349999999999977,1464
0.0011639567638949586,9.755067905916678e-05,0.0012615074429541255,18.449999999999978,1644
0.0012373854877192067,0.00011001012523047086,0.0013473956129496775,18.549999999999976,1755
