ra,dec,phot_g_mean_mag,phot_g_mean_flux,phot_g_mean_flux_error,phot_g_n_obs,source_id
231.08659189006798,-66.32853580260516,17.825445,1396.9096796197152,1.4470393753616833,408,5824099966914549632
231.69204859138105,-66.24590684057624,19.130566,419.8750750875069,0.8893805738197934,448,5824110210445302016
231.7983502458219,-66.03511728927339,21.279894,57.994768802245005,1.3086153496871298,51,5824125878474774016
231.7654585682403,-66.18926998911023,19.056944,449.3330665437726,0.8476800557963338,461,5824110824593885696
231.79151997069042,-66.23176185488734,19.70409,247.5768841873191,0.7875352204248965,448,5824110416589050240
232.5844177047343,-66.07019978650287,20.330303,139.06720741490014,0.6803335374732987,544,5824116017228835072
232.18466761283383,-66.04273310714359,20.402418,130.1304674868368,0.6683654967986848,492,5824118491143078656
231.48114819811042,-65.92656314999522,20.777872,92.08686107814403,0.8032785407169514,329,5824130482681321984
231.61934644953635,-65.9977785543278,17.483604,1913.836004049064,2.3337180043579564,479,5824129108291158144
232.07622466338702,-66.01626904120751,18.712357,617.1686793329488,0.874262714968307,569,5824119551968472448
231.8075599816795,-65.85117483345017,20.554804,113.09007458027669,0.5553170279034085,461,5824137560789246720
231.7936378006537,-65.93042108600083,15.348969,13669.681449831507,3.5079332459943107,553,5824135258696484352
231.942746961011,-65.93773625276566,18.010675,1177.8131388373188,1.0249821517860875,561,5824132475557598976
231.9852345730265,-66.08337142006637,17.857798,1355.8996730955353,1.0889427421416724,555,5824118869086540544
275.29022948077125,-24.174880143502996,19.824858,221.51493245669081,3.604988264416527,81,4089340685883204480
277.65381794185464,23.388674083468263,16.894978,3291.2092677447126,1.8825241004866586,373,4535489832567720576
277.22391769424183,23.394659440232473,17.971027,1221.6182492769096,1.2960173902599665,448,4535501751092230912
277.3609994926137,23.557341961087072,20.061224,178.17900053738052,1.3347179754878122,321,4535510895087601664
277.33570788603555,23.21066795341537,20.62161,106.34140074536495,0.916617160694561,316,4535484369361208448
277.8000973347119,23.59956121186305,20.315735,140.94591320974936,0.7319546109579482,368,4535525326178351232
277.57023409417747,23.532091476930027,20.957712,78.02991630560531,1.017708712974187,126,4535529896019845248
277.66850312042544,23.657598686864933,18.072006,1113.1244159946214,1.2878933244762738,384,4535532571778312320
277.88371634827377,23.823152536942633,17.29805,2270.526909710058,1.8259058803573267,343,4535541440895897728
277.1681285541778,23.33851426289629,20.752924,94.22724258457559,0.7284776263105506,295,4535499659445411584
277.4894152058552,23.541897138636536,16.113773,6758.288348393327,3.6122895661345016,430,4535507356034476160
277.5578686940799,23.593125926346648,21.122078,67.06794541321756,1.7335727039036426,91,4535531201689455232
277.2667817295294,23.130360686028997,20.1585,162.90943683916794,0.8338013645832294,369,4535482204697626496
277.81392248896793,23.44471350579813,19.407013,325.49261191879555,0.8952117552268979,421,4535514361119743360
277.820581568046,23.410765443556443,19.616734,268.31977744156745,0.8599348698644536,416,4535514051882020224
278.58906018093535,23.472657136671394,18.334305,874.2280098948052,1.1564270808541224,442,4535549923449704832
278.0134462482746,23.699115489584557,16.651566,4118.316836426743,2.2715417952983104,407,4535524948221359232
277.2405098844636,23.288126059233853,20.575794,110.92486963492902,0.7610289826214424,304,4535497632220603648
277.6605697480716,23.81403212981136,21.012629,74.18131948495667,1.2949906468303263,123,4535543571195497216
277.68486883613207,23.731062943704195,19.050274,452.10227498540667,0.9733271880767882,383,4535539757268528896
277.54996172393606,23.476333665912414,17.420557,2028.2594860767445,2.256075155871941,405,4535505981636899200
277.96094382484864,23.59967710939273,18.355461,857.3565628351843,1.058584531229228,460,4535523195874702592
277.92825665566573,23.737983993035698,20.227137,152.92959017443684,0.7969394470632297,348,4535528178032096384
277.73091022353975,23.539633994551114,19.03418,458.85398842410086,0.9956181385993021,409,4535518935267013120
277.37936566236357,23.176283035568172,18.220713,970.646594076684,1.1400273838465014,419,4535483338577168128
277.83417492472364,23.62530332973773,20.52951,115.75567325442002,0.7158386708183601,384,4535525497977042944
277.42083916032675,23.432771086611712,20.830952,87.69315469800702,0.8494789757877776,222,4535504126212723328
277.3181255755526,23.332113588352083,17.430908,2009.0128131675085,1.4703563845867742,424,4535497391710296320
277.516194458174,23.375149967143013,19.341253,345.8156820011237,0.9324451872710701,371,4535493165454295680
275.2616824510774,-24.180042512423626,20.030968,183.2141718039632,2.9949799380196556,42,4089340793219594368
232.23681339756527,-66.26727949590583,20.176283,160.26291849791014,0.6822534832563637,441,5824107152428588672
232.21109602557326,-65.97075430927465,18.359241,854.37690312016,1.0200259216692846,557,5824120965030899712
231.54683068953167,-65.890808734529,21.075472,70.00955709348605,1.24657859371484,161,5824136529996601344
231.83156984209015,-65.95704170169186,19.361946,339.2874458372881,0.716383683706364,573,5824132235028640000
231.9699500025687,-66.12907512510382,19.929237,201.2107039886235,0.6791243264130002,455,5824112684346325120
231.6838455889912,-66.22577486254625,21.012774,74.17151622456919,0.966532841333271,147,5824110279150718464
232.04499479303755,-66.27172738125036,20.515308,117.27962769867221,0.8026160650871167,357,5824107667810323584
231.57737676102008,-66.09216604260328,12.26892,233226.71503119654,62.31050080895315,476,5824124018732583424
231.9831166603667,-65.9277397895403,19.619944,267.52781043551096,0.7138544135051346,547,5824133231461052928
232.4602315942458,-66.12735080026528,19.623466,266.66117866094356,0.7216786337295262,489,5824115398752284416
231.67066773410588,-66.26265920789986,20.821226,88.48213353330709,0.9435866061490064,244,5824110073006330880
231.06582610849551,-66.2254996081451,15.133743,16666.681381489052,4.470379400257839,398,5824101826668509824
