MeanMagError,StdevMagError,UpperBoundMagError,Magnitude,Stars in Bin
0.000747142129823,8.07191618458e-05,0.000827861291668,12.05,2000
0.00072209665886,7.7185264081e-05,0.000799281922941,12.15,2000
0.000686579540991,7.61031000143e-05,0.000762682641005,12.25,2000
0.000698111277093,8.80223992611e-05,0.000786133676354,12.35,2000
0.000770478588461,7.92199009362e-05,0.000849698489398,12.45,2000
0.00072059019011,8.88497931539e-05,0.000809439983264,12.55,2000
0.000752212617196,9.16734976207e-05,0.000843886114816,12.65,2000
0.000789755316563,0.000101476029971,0.000891231346534,12.75,2000
0.000829783483224,0.000124702265944,0.000954485749168,12.85,2000
0.00100963667854,0.000193501951244,0.00120313862979,12.95,2000
0.00113496578372,0.00017590033307,0.00131086611679,13.05,2000
0.000951084737587,0.000127004897796,0.00107808963538,13.15,2000
0.000943544729109,0.000113126695088,0.0010566714242,13.25,2000
0.000927898769864,0.000102843053488,0.00103074182335,13.35,2000
0.000872574751915,9.61828850508e-05,0.000968757636966,13.45,2000
0.000848911044534,9.89838043381e-05,0.000947894848872,13.55,2000
0.000846627978578,9.21027930628e-05,0.000938730771641,13.65,2000
0.000910387315561,9.64497629523e-05,0.00100683707851,13.75,2000
0.000876218285532,9.61208705237e-05,0.000972339156056,13.85,2000
0.000854450662754,9.27355825476e-05,0.000947186245301,13.95,2000
0.000888751277613,9.31428908617e-05,0.000981894168475,14.05,2000
0.00094345946905,9.96857811787e-05,0.00104314525023,14.15,2000
0.000851520594676,9.40169312395e-05,0.000945537525916,14.25,2000
0.000968789917476,0.000105266907737,0.00107405682521,14.35,2000
0.000832011540274,0.000100453562746,0.00093246510302,14.45,2000
0.00094934277204,0.000108473905503,0.00105781667754,14.55,2000
0.000994862534724,0.000111253350717,0.00110611588544,14.65,2000
0.000985333643035,0.000109753831396,0.00109508747443,14.75,2000
0.00105712245623,0.000121690423134,0.00117881287937,14.85,2000
0.000994444751764,0.000115303412586,0.00110974816435,14.95,2000
0.000994685670968,0.000126569149827,0.0011212548208,15.05,2000
0.00110311055441,0.00012884415812,0.00123195471253,15.15,2000
0.000991067807457,0.000138441951898,0.00112950975935,15.25,2000
0.00109352331132,0.000145546856724,0.00123907016805,15.35,2000
0.00104680883936,0.000162180760888,0.00120898960025,15.45,2000
0.00109454303973,0.000164916456599,0.00125945949633,15.55,2000
0.00123408020607,0.000184839325358,0.00141891953143,15.65,2000
0.00119692351034,0.000199518365908,0.00139644187625,15.75,2000
0.00129409194682,0.000197705843697,0.00149179779051,15.85,2000
0.00125424586176,0.000197984608706,0.00145223047047,15.95,2000
0.00138729656164,0.000206833715633,0.00159413027728,16.05,2000
0.00133936111251,0.000195599511595,0.00153496062411,16.15,2000
0.001377818789,0.000198728591977,0.00157654738097,16.25,2000
0.00142357737089,0.000209323230671,0.00163290060156,16.35,2000
0.0015142346431,0.000213282264412,0.00172751690751,16.45,2000
0.00146863073989,0.000194479026046,0.00166310976594,16.55,2000
0.00151984215831,0.000202279539797,0.00172212169811,16.65,2000
0.00161178037557,0.000211227613653,0.00182300798923,16.75,2000
0.00166193265657,0.000217047285973,0.00187897994254,16.85,2000
0.00167390007249,0.000228082623579,0.00190198269607,16.95,2000
0.00175474904008,0.000246684446203,0.00200143348628,17.05,2000
0.00176227511163,0.000237892292358,0.00200016740399,17.15,2000
0.00197628285689,0.000270093824322,0.00224637668121,17.25,2000
0.00207086379131,0.000271354386632,0.00234221817794,17.35,2000
0.00210706338139,0.000294294734687,0.00240135811607,17.45,2000
0.00217725418182,0.000301564747733,0.00247881892955,17.55,2000
0.00229407060953,0.00031820128893,0.00261227189846,17.65,2000
0.00241595265353,0.00033913715391,0.00275508980744,17.75,2000
0.0026064169591,0.000366484911174,0.00297290187027,17.85,2000
0.0027414333733,0.00036147674377,0.00310291011707,17.95,2000
0.00293794174985,0.000413141665236,0.00335108341508,18.05,2000
0.00308674187499,0.000453101844723,0.00353984371971,18.15,2000
0.00331375291186,0.000449831703964,0.00376358461582,18.25,2000
0.00344526182598,0.00049099904829,0.00393626087427,18.35,2000
0.00366685180722,0.000519292348091,0.00418614415531,18.45,2000
0.00392542738568,0.000600028507482,0.00452545589317,18.55,2000
0.0041051943425,0.000592564639832,0.00469775898233,18.65,2000
0.0043540986967,0.000687102940166,0.00504120163686,18.75,2000
0.0045955974285,0.000702155387462,0.00529775281596,18.85,2000
0.00488928502421,0.000755009191631,0.00564429421584,18.95,2000
0.00505430222919,0.000753444055841,0.00580774628503,19.05,2000
0.00534978390215,0.000794576202996,0.00614436010515,19.15,2000
0.00559550721594,0.000860934837274,0.00645644205321,19.25,2000
0.0059132834311,0.000858391737827,0.00677167516893,19.35,2000
0.00629391203635,0.000948602511309,0.00724251454766,19.45,2000
0.00670936639301,0.00104812173776,0.00775748813078,19.55,2000
0.00707415971574,0.00107929322663,0.00815345294238,19.65,2000
0.00739814675823,0.00100617153497,0.00840431829319,19.75,2000
0.00784688771299,0.00110130383689,0.00894819154989,19.85,2000
0.00832371210565,0.00119207613787,0.00951578824351,19.95,2000
0.00894552607341,0.00130872200773,0.0102542480811,20.05,2000
0.0094621858621,0.0013499654163,0.0108121512784,20.15,2000
0.0101654740043,0.00145871587658,0.0116241898809,20.25,2000
0.0107677775014,0.0015753854871,0.0123431629885,20.35,2000
0.0115344933759,0.00167157658994,0.0132060699659,20.45,2000
0.012260673106,0.00171460255613,0.0139752756621,20.55,2000
0.0130585286468,0.00187040890961,0.0149289375564,20.65,2000
0.0137366980802,0.00190887966362,0.0156455777439,20.75,2000
0.0145979123036,0.00205313101503,0.0166510433186,20.85,2000
0.0159141355974,0.0022298007652,0.0181439363627,20.95,2000
0.0171801945537,0.00234994807417,0.0195301426278,21.05,2000
0.0189336310065,0.00291275195385,0.0218463829604,21.15,2000
0.0203565154282,0.0033102227996,0.0236667382278,21.25,2000
0.0237470824759,0.00405762231114,0.0278047047871,21.35,2000
