ra,dec,phot_g_mean_mag,phot_g_mean_flux,phot_g_mean_flux_error,phot_g_n_obs,source_id
246.126244327958,14.61761501332759,17.792675,1439.7150026547804,1.2857149395554033,600,4464055764694134144
246.0160764352206,14.895236248529256,19.371607,336.28223841185354,0.7963357516771417,600,4464083385626947328
246.1888633717,14.805470029716565,18.537256,725.1760700602334,1.0087673673973414,600,4464067275206500096
246.11763182889584,14.845114332980382,19.420654,321.4287493370409,0.8067565906432119,600,4464079399897245184
245.8381498745129,15.373345247040616,17.410034,2048.0140433794813,1.3525985544715116,600,4464180353105614208
246.07847147286074,14.889509679815115,18.320395,885.4997562953026,1.051042309402539,600,4464080705567348096
246.1245837888093,15.005207821041143,20.563904,112.14634953128191,0.5895973469479605,600,4464086001262568320
246.00456968552322,15.356933624393136,17.298676,2269.2161828640196,1.3638245463800618,600,4464177844844882048
246.00178956700427,15.333128929222193,15.877154,8403.973648525707,2.5755965222971726,600,4464177741765665792
246.06931905326263,15.115206241514596,19.808662,224.84393376775242,0.7428119779077486,600,4464134753436232704
281.1545506879142,22.032170623019542,17.168428,2558.438346725604,1.2918004062223472,600,4531935691290693376
280.85176661571825,22.04840160913811,19.679825,253.1724761976922,0.6255415458189006,600,4531943903268263808
280.95994307482533,22.01858885391112,19.875248,211.46918710898208,0.581304605261487,600,4531937477996950016
281.0059898267553,22.12322165518699,19.219137,386.9827186079127,0.7198587167316238,600,4531951668569687680
281.1184478887751,22.07782698990113,20.230076,152.51616765795816,0.7305286160581383,600,4531938989825946240
280.66610527252766,22.10794432671431,19.907257,205.32583739203287,0.6266204213296385,600,4531948644912603904
280.9567843983736,22.096165889779382,17.403614,2060.158409654647,1.2648021544659782,600,4531950126683030016
280.605521912823,22.077089309151855,17.859861,1353.3230773590763,1.1662769682160092,600,4531947068666120704
280.96425697260094,22.11055736561948,18.698225,625.2539828236731,0.8688324345776991,600,4531950229762250624
280.9305862886014,22.08894792237571,17.381687,2102.1868599363866,1.189585578547115,600,4531950057963560320
280.83313566766304,22.075510180175765,20.28897,144.4634908008488,0.5525935530646738,600,4531944732196870656
280.8144581460153,22.04458819920772,19.07414,442.2729741793766,0.7314859462293137,600,4531944526045991808
281.00105426853054,22.12002686927432,20.565237,112.00855679974107,0.5984517799500628,600,4531951672863421696
280.82352299414373,22.19399098011535,19.267069,370.270413895142,0.7714074020971134,600,4531954760940902144
281.1878354015764,21.983345087638106,15.847356,8637.818257079693,2.6263859323113037,600,4531934218123984640
280.95396326259043,21.983179763485317,19.140247,416.14743438601215,0.8002363566522324,600,4531936584643463296
280.8807891313007,22.109378137425594,20.38928,131.71468440863165,0.5461453503564072,600,4531950779509737600
280.99649702176976,22.097117565255186,18.879314,529.2008756708871,0.7879067580737354,600,4531939883179273216
281.18020571791317,22.076044549171677,19.845692,217.30500798396676,0.6361645184405536,600,4531935931809217024
280.77361877992047,22.005062500474917,17.308681,2248.3993311440286,1.2852504614551838,600,4531943976290188928
280.8340832970313,22.02351964961612,16.020443,7364.941121963429,2.168446858154095,600,4531943701412258048
281.07836473421685,21.99884535963874,19.053322,450.83499182494063,0.6824683260678962,600,4531933904584010624
280.577055432799,22.00504883555462,18.384472,834.7515763072018,1.125849889544425,600,4531946205370387584
281.021250223568,21.954360354416835,17.189816,2508.534207621944,1.2676722614905376,600,4531933354827850880
281.0575358899172,22.00766826965298,12.011685,295578.0798187822,116.4110648280175,600,4531933977605896192
281.1389503107028,22.10249082664705,19.411844,324.0474178528099,0.7310316358045863,600,4531939131566673152
280.99503384814227,21.96149588679335,19.671846,255.03969790395033,0.6754576255815642,600,4531936275405648640
281.0347469775006,22.047887941742527,18.239834,953.7021335471579,0.9694579573029497,600,4531937241781075200
281.030911716624,22.037458946981847,19.44526,314.2265325435121,0.6936342685974912,600,4531937207421331200
281.0498522952116,22.08434126657477,17.271124,2327.537849791735,1.235331874511802,600,4531939578243300096
280.5902573245933,22.028292680949377,18.364126,850.541883926255,0.9293554427317735,600,4531946548967930752
281.08244469269675,22.0714524146036,17.50029,1884.6482039073685,1.2619512039045713,600,4531938650530342016
280.80604447484683,22.17777062702591,20.446012,125.00908951084409,0.5958610678073742,600,4531954352922701568
